日期,白天天气,夜晚天气,最高温,最低温,白天风力,夜晚风力
2022年12月13日,阵雪,多云,1.0,-7.0,西北风 5-6级,西北风 5-6级
2022年12月14日,多云,阵雪,2.0,-6.0,西北风 4-5级,西南风 4-5级
2022年12月15日,多云,晴,-2.0,-8.0,北风 4-5级,北风 4-5级
2022年12月16日,多云,阵雪,-3.0,-9.0,西北风 4-5级,西北风 4-5级
2022年12月17日,阵雪,阵雪,-7.0,-10.0,西北风 4-5级,西北风 4-5级
2022年12月18日,多云,多云,-2.0,-10.0,西北风 4-5级,西北风 3-4级
2022年12月19日,晴,晴,3.0,-4.0,北风 3-4级,南风 3-4级
2022年12月20日,多云,多云,7.0,-1.0,西南风 4-5级,西北风 4-5级
,,,,,,
2022年12月21日,晴,多云,-1.0,-8.0,北风 4-5级,北风 4-5级
2022年12月22日,阵雪,多云,-7.0,-10.0,北风 5-6级,北风 5-6级
2022年12月23日,阴,多云,-5.0,-10.0,北风 5-6级,北风 5-6级
2022年12月24日,多云,晴,-2.0,-6.0,北风 4-5级,北风 4-5级
2022年12月25日,晴,晴,-2.0,-5.0,北风 4-5级,北风 3-4级
2022年12月26日,晴,晴,0.0,-5.0,北风 3-4级,北风 3-4级
2022年12月27日,多云,多云,3.0,-6.0,西北风 4-5级,西北风 4-5级
2022年12月28日,晴,晴,0.0,-4.0,西北风 4-5级,西北风 3-4级
2022年12月29日,晴,晴,0.0,-5.0,西北风 4-5级,西北风 3-4级
2022年12月30日,晴,晴,3.0,-2.0,西南风 4-5级,西南风 4-5级
2022年12月31日,晴,晴,5.0,-4.0,西风 3-4级,北风 3-4级
2023年01月01日,晴,晴,0.0,-5.0,北风 4-5级,北风 3-4级
2023年01月02日,晴,晴,-1.0,-5.0,北风 3-4级,西北风 3-4级
2023年01月03日,晴,晴,2.0,-5.0,西北风 3-4级,东风 3-4级
2023年01月04日,晴,晴,2.0,-3.0,东南风 3-4级,南风 3-4级
2023年01月05日,晴,多云,6.0,0.0,西南风 3-4级,西南风 3-4级
2023年01月06日,阴,晴,6.0,-4.0,西北风 4-5级,西北风 4-5级
2023年01月07日,晴,多云,4.0,-3.0,西南风 3-4级,南风 3-4级
2023年01月08日,晴,晴,8.0,-2.0,南风 4-5级,北风 4-5级
2023年01月09日,晴,晴,2.0,-3.0,北风 4-5级,北风 3-4级
2023年01月10日,晴,晴,6.0,-1.0,西南风 3-4级,西南风 3-4级
2023年01月11日,多云,多云,7.0,3.0,南风 3-4级,东南风 3-4级
2023年01月12日,小雨,小到中雨,9.0,5.0,东南风 3-4级,东北风 3-4级
2023年01月13日,阴,多云,4.0,-8.0,北风 5-6级,北风 5-6级
2023年01月14日,多云,晴,-7.0,-11.0,北风 5-6级,北风 5-6级
2023年01月15日,晴,晴,-6.0,-11.0,北风 4-5级,北风 4-5级
2023年01月16日,晴,多云,0.0,-9.0,北风 3-4级,西风 4-5级
2023年01月17日,晴,晴,3.0,-6.0,西风 4-5级,南风 3-4级
2023年01月18日,晴,晴,4.0,-3.0,西南风 4-5级,西南风 4-5级
2023年01月19日,晴,晴,5.0,-9.0,西风 4-5级,西北风 5-6级
2023年01月20日,晴,晴,-2.0,-9.0,北风 4-5级,南风 3-4级
,,,,,,
2023年01月21日,晴,多云,4.0,-2.0,南风 4-5级,北风 3-4级
2023年01月22日,多云,晴,3.0,-12.0,北风 4-5级,北风 4-5级
2023年01月23日,多云,阵雪,-12.0,-15.0,北风 4-5级,北风 4-5级
2023年01月24日,阵雪,多云,-8.0,-16.0,北风 4-5级,西北风 4-5级
2023年01月25日,晴,晴,-2.0,-8.0,西南风 4-5级,西南风 4-5级
2023年01月26日,多云,晴,-1.0,-9.0,北风 4-5级,北风 4-5级
2023年01月27日,晴,晴,-4.0,-5.0,西北风 4-5级,西北风 4-5级
2023年01月28日,晴,晴,2.0,-4.0,西北风 3-4级,西风 3-4级
2023年01月29日,晴,晴,3.0,-2.0,西北风 4-5级,西南风 3-4级
2023年01月30日,晴,晴,7.0,1.0,南风 3-4级,南风 4-5级
2023年01月31日,晴,晴,6.0,-2.0,西北风 3-4级,北风 5-6级
2023年02月01日,晴,晴,0.0,-5.0,北风 5-6级,北风 4-5级
2023年02月02日,多云,多云,-1.0,-6.0,北风 3-4级,西南风 3-4级
2023年02月03日,晴,晴,4.0,-3.0,西南风 3-4级,北风 3-4级
2023年02月04日,晴,晴,4.0,-1.0,西南风 3-4级,西南风 3-4级
2023年02月05日,多云,晴,8.0,0.0,西南风 4-5级,西南风 3-4级
2023年02月06日,多云,晴,5.0,-2.0,东北风 4-5级,东北风 3-4级
2023年02月07日,晴,晴,4.0,-2.0,东北风 3-4级,东北风 3-4级
2023年02月08日,晴,多云,3.0,-2.0,北风 3-4级,东北风 3-4级
2023年02月09日,多云,阴,3.0,0.0,东风 3-4级,西风 3-4级
2023年02月10日,多云,多云,5.0,0.0,西风 3-4级,西南风 3-4级
2023年02月11日,多云,多云,7.0,0.0,南风 3-4级,东北风 4-5级
2023年02月12日,雨夹雪,多云,4.0,-4.0,北风 4-5级,北风 4-5级
2023年02月13日,晴,晴,-1.0,-4.0,北风 4-5级,北风 4-5级
2023年02月14日,晴,晴,0.0,-7.0,北风 4-5级,北风 4-5级
2023年02月15日,晴,晴,0.0,-6.0,北风 4-5级,西南风 3-4级
2023年02月16日,晴,晴,6.0,0.0,西南风 3-4级,西南风 3-4级
2023年02月17日,多云,多云,7.0,2.0,南风 3-4级,南风 3-4级
2023年02月18日,小雨,小雪,6.0,-2.0,南风 3-4级,西北风 4-5级
2023年02月19日,晴,晴,5.0,-4.0,西北风 4-5级,北风 4-5级
2023年02月20日,晴,晴,0.0,-5.0,北风 4-5级,北风 3-4级
,,,,,,
2023年02月21日,晴,多云,1.0,-4.0,北风 3-4级,西南风 3-4级
2023年02月22日,多云,晴,6.0,1.0,西南风 4-5级,西南风 3-4级
2023年02月23日,多云,多云,7.0,-2.0,东南风 3-4级,北风 4-5级
2023年02月24日,晴,晴,1.0,-2.0,北风 4-5级,北风 4-5级
2023年02月25日,晴,晴,4.0,0.0,西北风 3-4级,西风 3-4级
2023年02月26日,晴,晴,8.0,2.0,西南风 3-4级,西南风 3-4级
2023年02月27日,晴,多云,10.0,3.0,南风 4-5级,西南风 4-5级
2023年02月28日,多云,晴,9.0,0.0,西南风 4-5级,北风 3-4级
2023年03月01日,多云,晴,9.0,-2.0,西北风 4-5级,西北风 4-5级
2023年03月02日,晴,晴,8.0,1.0,西南风 4-5级,西南风 4-5级
2023年03月03日,晴,晴,11.0,2.0,西南风 3-4级,东北风 3-4级
2023年03月04日,晴,多云,9.0,3.0,东风 3-4级,东南风 3-4级
2023年03月05日,多云,多云,12.0,3.0,南风 4-5级,南风 4-5级
2023年03月06日,多云,晴,15.0,3.0,南风 4-5级,东北风 3-4级
2023年03月07日,多云,阴,11.0,4.0,南风 4-5级,东北风 4-5级
2023年03月08日,阴,多云,10.0,3.0,东北风 4-5级,西南风 3-4级
2023年03月09日,晴,晴,13.0,5.0,西南风 3-4级,东南风 4-5级
2023年03月10日,多云,阴,13.0,4.0,东南风 4-5级,北风 4-5级
2023年03月11日,阴,多云,11.0,1.0,北风 4-5级,北风 5-6级
2023年03月12日,晴,晴,4.0,-2.0,北风 5-6级,西南风 3-4级
2023年03月13日,多云,多云,11.0,4.0,南风 4-5级,南风 4-5级
2023年03月14日,多云,多云,13.0,4.0,南风 4-5级,北风 4-5级
2023年03月15日,晴,晴,7.0,2.0,西北风 4-5级,北风 3-4级
2023年03月16日,晴,多云,7.0,1.0,西北风 3-4级,南风 3-4级
2023年03月17日,多云,多云,7.0,3.0,西南风 3-4级,西风 3-4级
2023年03月18日,晴,晴,9.0,3.0,西风 3-4级,西南风 3-4级
2023年03月19日,多云,多云,12.0,6.0,西南风 3-4级,南风 4-5级
2023年03月20日,阴,晴,12.0,5.0,南风 4-5级,南风 4-5级
,,,,,,
2023年03月21日,晴,多云,12.0,7.0,南风 4-5级,南风 4-5级
2023年03月22日,多云,晴,14.0,6.0,北风 3-4级,北风 4-5级
2023年03月23日,晴,晴,10.0,2.0,北风 4-5级,北风 4-5级
2023年03月24日,晴,晴,7.0,2.0,北风 4-5级,北风 3-4级
2023年03月25日,多云,晴,9.0,2.0,北风 3-4级,北风 3-4级
2023年03月26日,晴,阴,9.0,3.0,北风 4-5级,南风 3-4级
2023年03月27日,多云,晴,13.0,3.0,南风 3-4级,北风 3-4级
2023年03月28日,晴,阴,12.0,6.0,东南风 3-4级,南风 4-5级
2023年03月29日,多云,晴,16.0,8.0,西南风 4-5级,西南风 3-4级
2023年03月30日,晴,晴,19.0,9.0,西南风 3-4级,西南风 3-4级
2023年03月31日,晴,晴,16.0,8.0,南风 3-4级,南风 3-4级
2023年04月01日,晴,晴,17.0,9.0,南风 3-4级,东南风 3-4级
2023年04月02日,晴,晴,18.0,8.0,东南风 3-4级,东南风 3-4级
2023年04月03日,多云,阴,17.0,9.0,东风 3-4级,东北风 4-5级
2023年04月04日,中雨,中到大雨,13.0,9.0,东北风 5-6级,东北风 5-6级
2023年04月05日,小雨,多云,12.0,7.0,北风 5-6级,北风 4-5级
2023年04月06日,多云,晴,14.0,6.0,西风 3-4级,北风 4-5级
2023年04月07日,晴,晴,10.0,6.0,西北风 4-5级,西风 4-5级
2023年04月08日,晴,晴,15.0,8.0,西风 4-5级,西南风 4-5级
2023年04月09日,晴,多云,18.0,11.0,西南风 4-5级,西南风 4-5级
2023年04月10日,多云,多云,20.0,12.0,西南风 4-5级,西北风 5-6级
2023年04月11日,晴,晴,16.0,7.0,西北风 5-6级,西风 3-4级
2023年04月12日,多云,阴,17.0,10.0,西南风 4-5级,西南风 4-5级
2023年04月13日,多云,多云,18.0,9.0,西南风 4-5级,东北风 3-4级
2023年04月14日,多云,多云,15.0,8.0,东北风 4-5级,西北风 3-4级
2023年04月15日,晴,晴,16.0,8.0,西南风 3-4级,西北风 3-4级
2023年04月16日,晴,多云,16.0,8.0,北风 4-5级,南风 3-4级
2023年04月17日,雷阵雨,雷阵雨,14.0,8.0,东南风 4-5级,东南风 4-5级
2023年04月18日,晴,晴,17.0,8.0,东北风 3-4级,西南风 3-4级
2023年04月19日,晴,多云,17.0,9.0,南风 4-5级,南风 4-5级
2023年04月20日,多云,多云,19.0,12.0,东北风 4-5级,东北风 4-5级
,,,,,,
2023年04月21日,多云,多云,17.0,10.0,东北风 4-5级,北风 3-4级
2023年04月22日,多云,多云,16.0,9.0,北风 4-5级,北风 3-4级
2023年04月23日,多云,多云,17.0,10.0,东北风 4-5级,东北风 3-4级
2023年04月24日,晴,多云,16.0,9.0,东北风 3-4级,西南风 3-4级
2023年04月25日,小雨,多云,15.0,8.0,西南风 4-5级,北风 4-5级
2023年04月26日,晴,阴,16.0,9.0,西北风 4-5级,南风 4-5级
2023年04月27日,多云,多云,19.0,12.0,南风 4-5级,南风 4-5级
2023年04月28日,阴,雷阵雨,17.0,9.0,南风 4-5级,西北风 4-5级
2023年04月29日,多云,晴,16.0,8.0,西北风 5-6级,西风 4-5级
2023年04月30日,晴,多云,20.0,11.0,北风 4-5级,西南风 3-4级
2023年05月01日,晴,多云,20.0,12.0,南风 3-4级,南风 4-5级
2023年05月02日,多云,晴,21.0,12.0,南风 4-5级,南风 4-5级
2023年05月03日,多云,阴,19.0,13.0,东南风 4-5级,东南风 4-5级
2023年05月04日,中雨,大雨,15.0,13.0,东风 4-5级,东北风 4-5级
2023年05月05日,小雨,多云,18.0,13.0,北风 5-6级,北风 5-6级
2023年05月06日,晴,晴,21.0,13.0,北风 4-5级,北风 3-4级
2023年05月07日,晴,晴,22.0,12.0,北风 4-5级,北风 3-4级
2023年05月08日,晴,晴,22.0,14.0,西风 3-4级,西风 3-4级
2023年05月09日,晴,晴,24.0,15.0,北风 3-4级,西南风 3-4级
2023年05月10日,晴,晴,24.0,14.0,西南风 3-4级,东风 3-4级
2023年05月11日,多云,多云,24.0,14.0,东南风 3-4级,西南风 3-4级
2023年05月12日,晴,雷阵雨,23.0,13.0,南风 4-5级,南风 4-5级
2023年05月13日,多云,晴,21.0,13.0,南风 3-4级,东南风 3-4级
2023年05月14日,晴,多云,22.0,12.0,东南风 4-5级,南风 4-5级
2023年05月15日,晴,晴,20.0,13.0,南风 4-5级,南风 4-5级
2023年05月16日,晴,多云,27.0,15.0,南风 4-5级,南风 4-5级
2023年05月17日,阴,中雨,22.0,15.0,北风 1-2级,东北风 1-2级
2023年05月18日,晴,多云,23.0,13.0,东北风 3-4级,东南风 3-4级
2023年05月19日,多云,雷阵雨,22.0,14.0,东南风 4-5级,南风 4-5级
2023年05月20日,多云,晴,23.0,15.0,西风 4-5级,西风 4-5级
,,,,,,
2023年05月21日,晴,晴,22.0,15.0,西北风 4-5级,北风 3-4级
2023年05月22日,晴,晴,25.0,15.0,西风 3-4级,西风 3-4级
2023年05月23日,晴,晴,26.0,16.0,西北风 3-4级,南风 3-4级
2023年05月24日,晴,晴,24.0,16.0,南风 4-5级,南风 4-5级
2023年05月25日,多云,多云,21.0,15.0,南风 4-5级,南风 4-5级
2023年05月26日,晴,多云,23.0,16.0,南风 3-4级,东南风 3-4级
2023年05月27日,小雨,小到中雨,19.0,16.0,东风 4-5级,东北风 4-5级
2023年05月28日,多云,多云,22.0,16.0,东北风 3-4级,东北风 3-4级
2023年05月29日,晴,晴,29.0,17.0,北风 4-5级,东北风 4-5级
2023年05月30日,多云,晴,24.0,16.0,东北风 3-4级,东南风 3-4级
2023年05月31日,晴,多云,25.0,18.0,西南风 4-5级,西南风 4-5级
2023年06月01日,多云,多云,25.0,17.0,西南风 4-5级,北风 4-5级
2023年06月02日,晴,晴,28.0,18.0,北风 4-5级,西风 3-4级
2023年06月03日,晴,多云,27.0,18.0,西风 4-5级,西风 3-4级
2023年06月04日,晴,晴,27.0,19.0,西风 4-5级,西南风 4-5级
2023年06月05日,晴,晴,28.0,19.0,西南风 4-5级,西南风 4-5级
2023年06月06日,晴,晴,28.0,18.0,北风 4-5级,西南风 3-4级
2023年06月07日,多云,雷阵雨,30.0,18.0,西南风 4-5级,东北风 4-5级
2023年06月08日,多云,多云,28.0,19.0,北风 4-5级,西南风 3-4级
2023年06月09日,晴,多云,28.0,18.0,西南风 4-5级,南风 3-4级
2023年06月10日,多云,多云,25.0,18.0,东风 3-4级,东北风 3-4级
2023年06月11日,多云,多云,25.0,16.0,东风 3-4级,西风 3-4级
2023年06月12日,多云,雷阵雨,23.0,17.0,西南风 3-4级,西风 3-4级
2023年06月13日,多云,多云,25.0,17.0,西南风 3-4级,西北风 3-4级
2023年06月14日,晴,晴,27.0,19.0,西南风 3-4级,南风 3-4级
2023年06月15日,晴,晴,28.0,20.0,南风 3-4级,南风 4-5级
2023年06月16日,晴,晴,30.0,21.0,南风 4-5级,南风 3-4级
2023年06月17日,晴,晴,26.0,19.0,南风 3-4级,东南风 3-4级
2023年06月18日,晴,多云,27.0,19.0,南风 3-4级,东风 3-4级
2023年06月19日,多云,阵雨,26.0,19.0,东南风 3-4级,东南风 3-4级
2023年06月20日,阴,阴,25.0,19.0,东南风 4-5级,南风 3-4级
,,,,,,
2023年06月21日,多云,晴,26.0,20.0,西南风 3-4级,西北风 3-4级
2023年06月22日,晴,晴,29.0,20.0,北风 3-4级,南风 3-4级
2023年06月23日,晴,晴,28.0,21.0,东南风 3-4级,东南风 3-4级
2023年06月24日,晴,晴,29.0,21.0,东南风 4-5级,东南风 3-4级
2023年06月25日,多云,雷阵雨,26.0,22.0,东南风 3-4级,东北风 3-4级
2023年06月26日,中雨,多云,25.0,20.0,东北风 4-5级,东北风 4-5级
2023年06月27日,多云,晴,29.0,22.0,西南风 4-5级,西南风 4-5级
2023年06月28日,多云,大雨,27.0,22.0,南风 4-5级,南风 4-5级
2023年06月29日,阴,晴,27.0,21.0,东北风 4-5级,西北风 3-4级
2023年06月30日,晴,晴,29.0,20.0,西南风 4-5级,西南风 4-5级
2023年07月01日,晴,多云,30.0,23.0,西南风 4-5级,南风 3-4级
2023年07月02日,晴,多云,28.0,22.0,南风 3-4级,东南风 3-4级
2023年07月03日,多云,小雨,27.0,22.0,东南风 3-4级,东南风 3-4级
2023年07月04日,中到大雨,多云,26.0,22.0,东南风 3-4级,西北风 4-5级
2023年07月05日,晴,晴,30.0,23.0,西南风 4-5级,西南风 4-5级
2023年07月06日,晴,多云,31.0,23.0,西南风 4-5级,西南风 4-5级
2023年07月07日,多云,小到中雨,29.0,21.0,东南风 4-5级,东南风 4-5级
2023年07月08日,多云,多云,27.0,22.0,东南风 4-5级,东南风 3-4级
2023年07月09日,多云,多云,27.0,22.0,东南风 3-4级,东南风 3-4级
2023年07月10日,多云,雷阵雨,28.0,22.0,东南风 3-4级,东风 3-4级
2023年07月11日,阴,多云,30.0,22.0,东北风 4-5级,东北风 3-4级
2023年07月12日,雷阵雨,小到中雨,28.0,23.0,东风 3-4级,东南风 4-5级
2023年07月13日,小雨,多云,27.0,24.0,东风 4-5级,西北风 3-4级
2023年07月14日,多云,多云,30.0,24.0,西南风 4-5级,西北风 4-5级
2023年07月15日,多云,多云,29.0,23.0,西北风 4-5级,西风 3-4级
2023年07月16日,多云,晴,30.0,22.0,西北风 3-4级,西北风 3-4级
2023年07月17日,晴,晴,30.0,22.0,南风 3-4级,南风 3-4级
2023年07月18日,晴,晴,30.0,23.0,西南风 3-4级,西南风 3-4级
2023年07月19日,晴,晴,31.0,23.0,西南风 3-4级,西南风 3-4级
2023年07月20日,晴,晴,31.0,23.0,西南风 3-4级,南风 3-4级
,,,,,,
2023年07月21日,多云,小到中雨,29.0,23.0,东南风 4-5级,东南风 4-5级
2023年07月22日,大雨,多云,27.0,23.0,东南风 4-5级,东南风 4-5级
2023年07月23日,晴,多云,30.0,22.0,西南风 3-4级,东风 3-4级
2023年07月24日,晴,晴,29.0,24.0,东南风 3-4级,东南风 3-4级
2023年07月25日,多云,多云,28.0,24.0,东南风 3-4级,东南风 3-4级
2023年07月26日,阴,阴,29.0,24.0,东南风 3-4级,南风 3-4级
2023年07月27日,雷阵雨,多云,30.0,25.0,东南风 3-4级,东南风 3-4级
2023年07月28日,多云,小到中雨,30.0,24.0,南风 4-5级,南风 4-5级
2023年07月29日,大到暴雨,阴,27.0,25.0,东南风 4-5级,东南风 4-5级
2023年07月30日,多云,多云,29.0,25.0,东南风 4-5级,东南风 3-4级
2023年07月31日,多云,多云,29.0,25.0,东南风 3-4级,南风 3-4级
2023年08月01日,晴,晴,30.0,25.0,南风 3-4级,南风 3-4级
2023年08月02日,晴,晴,31.0,26.0,西南风 4-5级,西南风 4-5级
2023年08月03日,多云,多云,32.0,26.0,西南风 4-5级,西南风 4-5级
2023年08月04日,多云,雷阵雨,31.0,25.0,西南风 4-5级,西南风 3-4级
2023年08月05日,雷阵雨,晴,30.0,22.0,东北风 4-5级,东北风 4-5级
2023年08月06日,晴,晴,28.0,21.0,东北风 4-5级,东北风 4-5级
2023年08月07日,晴,晴,29.0,22.0,北风 4-5级,北风 3-4级
2023年08月08日,晴,晴,30.0,24.0,北风 3-4级,北风 3-4级
2023年08月09日,晴,晴,31.0,24.0,北风 3-4级,北风 4-5级
2023年08月10日,多云,多云,31.0,24.0,北风 4-5级,北风 4-5级
2023年08月11日,多云,阴,30.0,24.0,北风 4-5级,西风 3-4级
2023年08月12日,中雨,大到暴雨,28.0,23.0,东风 4-5级,东风 4-5级
2023年08月13日,阵雨,多云,28.0,24.0,北风 4-5级,北风 3-4级
2023年08月14日,晴,晴,30.0,24.0,北风 3-4级,北风 3-4级
2023年08月15日,多云,多云,28.0,23.0,西风 3-4级,西风 3-4级
2023年08月16日,多云,多云,30.0,24.0,西风 3-4级,西北风 3-4级
2023年08月17日,多云,多云,30.0,24.0,北风 3-4级,南风 3-4级
2023年08月18日,多云,多云,30.0,25.0,南风 3-4级,东南风 3-4级
2023年08月19日,多云,多云,31.0,26.0,南风 3-4级,南风 3-4级
2023年08月20日,多云,小雨,29.0,25.0,南风 3-4级,南风 4-5级
,,,,,,
2023年08月21日,中到大雨,多云,28.0,24.0,南风 4-5级,北风 3-4级
2023年08月22日,多云,晴,30.0,22.0,北风 3-4级,北风 3-4级
2023年08月23日,晴,晴,30.0,22.0,北风 1-3级,北风 1-3级
2023年08月24日,多云,多云,30.0,22.0,北风 1-3级,北风 1-3级
2023年08月25日,晴,晴,29.0,22.0,西北风 1-3级,北风 1-3级
2023年08月26日,多云,多云,28.0,22.0,北风 1-3级,东北风 1-3级
2023年08月27日,多云,多云,27.0,22.0,东北风 1-3级,东北风 1-3级
2023年08月28日,大雨,小雨,23.0,19.0,东北风 1-3级,北风 1-3级
2023年08月29日,多云,晴,28.0,20.0,北风 1-3级,北风 1-3级
2023年08月30日,晴,多云,27.0,20.0,北风 3-4级,西南风 3-4级
2023年08月31日,雷阵雨,多云,27.0,20.0,西南风 3-4级,西北风 3-4级
2023年09月01日,晴,晴,28.0,20.0,西风 3-4级,西北风 3-4级
2023年09月02日,晴,晴,28.0,20.0,南风 3-4级,东南风 3-4级
2023年09月03日,晴,多云,28.0,22.0,南风 3-4级,东南风 3-4级
2023年09月04日,多云,晴,28.0,22.0,东南风 3-4级,北风 3-4级
2023年09月05日,晴,晴,30.0,21.0,北风 3-4级,北风 3-4级
2023年09月06日,晴,晴,30.0,21.0,北风 3-4级,北风 1-3级
2023年09月07日,晴,多云,29.0,23.0,南风 3-4级,南风 3-4级
2023年09月08日,多云,多云,29.0,23.0,南风 1-3级,南风 1-3级
2023年09月09日,多云,多云,28.0,22.0,北风 3-4级,北风 3-4级
2023年09月10日,多云,多云,27.0,23.0,南风 1-3级,西南风 3-4级
2023年09月11日,多云,雷阵雨,27.0,21.0,西南风 3-4级,北风 4-5级
2023年09月12日,晴,晴,28.0,17.0,北风 1-3级,东北风 1-3级
2023年09月13日,晴,晴,28.0,18.0,东北风 3-4级,东北风 3-4级
2023年09月14日,晴,晴,28.0,19.0,北风 1-3级,北风 1-3级
2023年09月15日,多云,多云,28.0,20.0,东南风 1-3级,东南风 1-3级
2023年09月16日,多云,多云,28.0,20.0,东北风 1-3级,东北风 1-3级
2023年09月17日,晴,多云,27.0,22.0,南风 3-4级,南风 3-4级
2023年09月18日,雷阵雨,雷阵雨,29.0,21.0,西南风 4-5级,北风 4-5级
2023年09月19日,多云,晴,27.0,18.0,北风 4-5级,北风 4-5级
2023年09月20日,晴,晴,26.0,17.0,北风 4-5级,北风 4-5级
,,,,,,
2023年09月21日,晴,晴,26.0,20.0,北风 3-4级,西南风 3-4级
2023年09月22日,多云,多云,28.0,17.0,北风 4-5级,北风 4-5级
2023年09月23日,多云,多云,25.0,19.0,东北风 4-5级,东南风 3-4级
2023年09月24日,阵雨,雷阵雨,25.0,19.0,东南风 4-5级,东南风 4-5级
2023年09月25日,阵雨,小雨,23.0,18.0,东南风 3-4级,北风 3-4级
2023年09月26日,小雨,阴,22.0,19.0,东风 3-4级,西风 3-4级
2023年09月27日,多云,晴,25.0,18.0,西风 3-4级,西北风 3-4级
2023年09月28日,晴,晴,26.0,17.0,北风 3-4级,南风 3-4级
2023年09月29日,多云,多云,25.0,18.0,西南风 4-5级,西北风 4-5级
2023年09月30日,晴,晴,22.0,16.0,北风 4-5级,北风 3-4级
2023年10月01日,晴,晴,25.0,16.0,西北风 3-4级,西南风 3-4级
2023年10月02日,晴,多云,24.0,19.0,西南风 3-4级,西南风 3-4级
2023年10月03日,多云,多云,24.0,18.0,西南风 3-4级,北风 4-5级
2023年10月04日,多云,晴,21.0,12.0,北风 4-5级,北风 4-5级
2023年10月05日,晴,晴,19.0,14.0,西北风 4-5级,西北风 3-4级
2023年10月06日,多云,多云,23.0,15.0,西北风 3-4级,东北风 3-4级
2023年10月07日,多云,多云,21.0,16.0,东风 3-4级,东南风 3-4级
2023年10月08日,多云,雷阵雨,22.0,14.0,南风 3-4级,西北风 4-5级
2023年10月09日,阵雨,晴,21.0,14.0,北风 4-5级,北风 4-5级
2023年10月10日,晴,晴,21.0,14.0,北风 3-4级,北风 3-4级
2023年10月11日,晴,多云,23.0,15.0,西北风 4-5级,西北风 4-5级
2023年10月12日,多云,阴,22.0,16.0,西南风 4-5级,西南风 4-5级
2023年10月13日,雷阵雨,雷阵雨,21.0,12.0,西南风 4-5级,西北风 5-6级
2023年10月14日,多云,晴,21.0,15.0,西北风 4-5级,无持续风向 5-6级
2023年10月15日,晴,晴,19.0,10.0,北风 5-6级,北风 4-5级
2023年10月16日,晴,晴,17.0,11.0,无持续风向 4-5级,西南风 4-5级
2023年10月17日,晴,阴,21.0,15.0,南风 4-5级,西南风 5-6级
2023年10月18日,小雨,多云,20.0,13.0,无持续风向 5-6级,无持续风向 4-5级
2023年10月19日,晴,多云,19.0,10.0,北风 5-6级,北风 5-6级
2023年10月20日,晴,晴,15.0,11.0,西北风 5-6级,西北风 5-6级
,,,,,,
2023年10月21日,晴,晴,18.0,12.0,北风 4-5级,西南风 5-6级
2023年10月22日,晴,晴,21.0,14.0,西南风 4-5级,西南风 4-5级
2023年10月23日,晴,晴,22.0,16.0,西南风 4-5级,西南风 5-6级
2023年10月24日,晴,晴,22.0,14.0,西南风 4-5级,西南风 4-5级
2023年10月25日,晴,晴,22.0,11.0,西南风 4-5级,北风 5-6级
2023年10月26日,晴,晴,17.0,8.0,北风 6-7级,北风 5-6级
2023年10月27日,晴,晴,19.0,12.0,西南风 5-6级,西南风 4-5级
2023年10月28日,晴,晴,20.0,14.0,东南风 4-5级,东南风 4-5级
2023年10月29日,晴,阴,21.0,16.0,南风 4-5级,南风 5-6级
2023年10月30日,多云,多云,22.0,16.0,南风 4-5级,南风 5-6级
2023年10月31日,晴,多云,22.0,14.0,西南风 5-6级,西南风 4-5级
2023年11月01日,晴,晴,22.0,16.0,无持续风向 3-4级,西南风 4-5级
2023年11月02日,晴,多云,24.0,8.0,西南风 5-6级,北风 5-6级
2023年11月03日,晴,晴,13.0,8.0,北风 4-5级,北风 4-5级
2023年11月04日,晴,阴,17.0,10.0,东风 4-5级,东风 4-5级
2023年11月05日,中到大雨,中到大雨,18.0,8.0,东风 5-6级,西北风 5-6级
2023年11月06日,小雨,多云,8.0,2.0,西北风 7-8级,西北风 7-8级
2023年11月07日,多云,阵雨,13.0,3.0,南风 4-5级,南风 5-6级
2023年11月08日,阴,多云,17.0,5.0,南风 5-6级,无持续风向 5-6级
2023年11月09日,多云,晴,8.0,1.0,北风 5-6级,北风 5-6级
2023年11月10日,多云,多云,3.0,-2.0,北风 5-6级,无持续风向 4-5级
2023年11月11日,晴,多云,3.0,-2.0,北风 5-6级,无持续风向 5-6级
2023年11月12日,多云,晴,2.0,-2.0,北风 5-6级,北风 5-6级
2023年11月13日,晴,多云,8.0,2.0,西北风 4-5级,西风 4-5级
2023年11月14日,晴,晴,12.0,7.0,西风 4-5级,西风 4-5级
2023年11月15日,多云,小雨,13.0,7.0,西南风 4-5级,西北风 5-6级
2023年11月16日,多云,雨夹雪,9.0,-1.0,西北风 5-6级,西北风 5-6级
2023年11月17日,小雪,多云,3.0,0.0,西北风 6-7级,西北风 6-7级
2023年11月18日,晴,晴,10.0,2.0,西风 5-6级,西风 5-6级
2023年11月19日,晴,晴,11.0,4.0,北风 5-6级,西南风 4-5级
2023年11月20日,晴,晴,14.0,8.0,南风 5-6级,西南风 5-6级
,,,,,,
2023年11月21日,晴,多云,15.0,10.0,南风 4-5级,南风 4-5级
2023年11月22日,阴,多云,15.0,2.0,西风 5-6级,北风 5-6级
2023年11月23日,阵雪,多云,4.0,-4.0,北风 5-6级,北风 5-6级
2023年11月24日,多云,晴,-1.0,-5.0,北风 5-6级,南风 4-5级
2023年11月25日,阴,雨夹雪,7.0,-3.0,南风 5-6级,南风 5-6级
